type	id	parent	name	durationYears
C	Ccd01855d83022b1b5135fb3e	Fdb0413bf7025d98e9aba5bf7	Licenciado en Sistemas	5
C	Ccd05b61fc8bbb0b1d2878fc4	F46a71fb3bf83fa973fdb3f2e	Licenciado en Nutrición	5
C	Ccd0b688439273c25cc4e5f1d	F1392c16b807d6730b79a2b71	Profesor de Enseñanza Media y Superior en Matemática	5
C	Ccd0f440dd8624275cdea1637	Fa2948364638c9c5cbbffc1dd	Licenciado en Producción de Bioimágenes	6
C	Ccd138279084c0414dd488077	F9ff09445d0358e60123fff1b	Licenciado Fonoaudiólogo	5
C	Ccd1dd03fa62631aad593a590	F30082e166c59570495389d2e	Licenciado en Ciencias de la Atmósfera	5
C	Ccd1ffb73f3acab453fabb540	Faff57d8d7b61b0a41ebda41b	Agente de Propaganda Médica	2
C	Ccd204576415a3040c03a6499	Ffb00f28fb6868a76a4ddc08b	Técnico/a Universitario/a en Jardinería y Gestión de Espacios Verdes	3
C	Ccd2234743fb9d2ee50027850	F49186d2cdac95795d9f11271	Psicólogo	5
C	Ccd236dfd0c35474e254c0796	Fd1246f85732f01312c295555	Técnico Universitario en Seguridad Vial	3
C	Ccd27d8b36464e6daca0c89b4	Fe297f3f99a588f207c5e0c73	Técnico Universitario en Instrumentación Quirúrgica	3
C	Ccd298b277d2e9798a1b7b238	F9a5c98aaee48d448fe1d9f3b	Licenciado en Violoncello	5
C	Ccd2b300377a2234b03304e3f	F0f43785626248c147ddfbb1f	Profesor de Enseñanza Media y Superior en la especialidad Biología	6
C	Ccd3f27a20a79886db2fbfb34	F6f158622edbb4bb77f780bdb	Licenciado en Psicopedagogía	5
C	Ccd3fdd91efacdf9fa80ebecd	Fc858813beebe3c4377b16d67	Ingeniero Agrónomo	5
C	Ccd430defd04d5b8da93a07cf	Faed86d1befa10d2cb8e012b3	Contador/a Público/a	4
C	Ccd44963ec5775482fb40635e	F8d147ec7623622ac5c3c5a6f	Licenciado en Psicología	4
C	Ccd470c0a5080493ab6348ca0	Fcb65b055577cd0a61d854b4b	Licenciado/a en Publicidad	4
C	Ccd560996e07d994fed144b0e	Feb23b1826b3e1f01a7bfe92b	Licenciado/a en Economía y Administración Agrarias	6
C	Ccd5eb42a203c9ce563cc9a5b	F789fd4aeeafbd0a3b38f4b3f	Profesor/a de Enseñanza Secundaria y Superior en Ciencias de la Educación	6
C	Ccd64d0f111acad356353a856	F7b3220ff71fe8f76fd6cc6aa	Técnico Universitario en Hemoterapia e Inmunohematología	3
C	Ccd64f6a4b08c72ee28307566	Fa60725223c38ae7f594f9dbe	Instrumentador/a Quirúrgico/a	3
C	Ccd66a664110f6cd0b6fd47f2	F675b911aa81b68c7e84cdecc	Técnico Universitario Administrativo Contable	3
C	Ccd67eb934b28460ffdf8bb8f	Fbd97cc441be3185423959867	Profesor de Enseñanza Media y Superior en Ciencia Política	5
C	Ccd6fe2bf7145c0c156f6369a	F8a6c5f7ba1f12fa2ad6d11c6	Técnico Universitario en Cosmetología Facial y Corporal	3
C	Ccd7cd11de0fdcd972ac36f2e	F06b503c39819fc2296c214f8	Ingeniero/a en Recursos Naturales	5
C	Ccd7ee361bc2f8a2ea21f2849	F2d573bfb7779c02d1eebf41f	Analista de Recursos Humanos	3
C	Ccd7f21b82c41ba215170a7c4	F2a20152219cf4419ce918332	Enfermera/o Universitaria/o	3
C	Ccd7ff73bda184dcfb317799b	F3c5bf70a95776c86c86aded7	Licenciado en Psicología	4
C	Ccd874d2467a1176dd1e6506e	F9a5549cc17a86bc146bc0124	Farmacéutico	6
C	Ccd88c8fd13c7e457907cf1d0	Fe393180811912102bd3a830b	Diseñador Textil	5
